,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
371,1527724800,7608.87,7349.52,7393.02,60780.47,458223966.12,7502.15,direct,,2018-05-31
372,1527811200,7614.66,7370.27,7501.74,61082.25,458687659.47,7530.55,direct,,2018-06-01
373,1527897600,7697.34,7467.79,7530.55,47435.99,362414878.61,7643.26,direct,,2018-06-02
374,1527984000,7774.96,7606.76,7643.26,42988.84,332313005.46,7719.75,direct,,2018-06-03
375,1528070400,7760.73,7469.21,7719.73,56223.86,427448262.3,7503.2,direct,,2018-06-04
376,1528156800,7672.7,7394.97,7503.32,58424.84,440337235.4,7629.4,direct,,2018-06-05
377,1528243200,7701.35,7504.98,7629.4,51911.42,396116252.65,7661.79,direct,,2018-06-06
378,1528329600,7755.92,7651.13,7661.79,44318.41,342475552.09,7700.11,direct,,2018-06-07
379,1528416000,7709.61,7559.5,7700.4,40500.95,310119047.41,7627.52,direct,,2018-06-08
380,1528502400,7691.74,7495.72,7627.56,28511.04,218013881.09,7513.69,direct,,2018-06-09
381,1528588800,7514.04,6661.98,7513.76,127797.43,895514425.38,6773.72,direct,,2018-06-10
382,1528675200,6913.85,6652.89,6773.72,71169.64,482788065.15,6887.37,direct,,2018-06-11
383,1528761600,6888.33,6462.61,6887.43,75997.29,509372466.34,6556.94,direct,,2018-06-12
384,1528848000,6623.0,6140.63,6556.94,124304.17,797087281.14,6310.43,direct,,2018-06-13
385,1528934400,6719.44,6286.23,6310.43,95038.67,620296377.11,6643.26,direct,,2018-06-14
386,1529020800,6667.23,6380.69,6643.63,57731.42,379228601.07,6396.71,direct,,2018-06-15
387,1529107200,6569.15,6345.99,6396.71,35851.38,232802782.59,6503.1,direct,,2018-06-16
388,1529193600,6585.77,6446.38,6503.1,34359.95,224575526.46,6457.78,direct,,2018-06-17
389,1529280000,6802.03,6401.41,6457.78,65285.57,430241689.13,6714.82,direct,,2018-06-18
390,1529366400,6839.6,6672.2,6714.56,54949.84,370797057.99,6741.28,direct,,2018-06-19
391,1529452800,6817.9,6569.96,6741.28,59674.47,400530201.24,6761.27,direct,,2018-06-20
392,1529539200,6790.08,6687.66,6761.27,43765.89,295690715.67,6720.64,direct,,2018-06-21
393,1529625600,6731.51,5941.32,6720.64,137346.53,862826624.25,6051.47,direct,,2018-06-22
394,1529712000,6257.88,6033.2,6051.47,57011.61,350697378.49,6166.54,direct,,2018-06-23
395,1529798400,6254.02,5782.13,6166.36,110833.06,667479078.32,6157.78,direct,,2018-06-24
396,1529884800,6344.45,6095.25,6157.78,79086.4,492834172.99,6260.35,direct,,2018-06-25
397,1529971200,6286.36,6067.49,6260.4,62925.3,391396653.43,6088.39,direct,,2018-06-26
398,1530057600,6192.11,6021.69,6092.26,62639.82,383457137.86,6141.57,direct,,2018-06-27
399,1530144000,6172.23,5844.26,6141.57,63585.51,385907044.98,5871.28,direct,,2018-06-28
400,1530230400,6286.67,5813.02,5870.81,92884.98,554799001.51,6203.8,direct,,2018-06-29
401,1530316800,6503.33,6194.51,6203.81,65571.19,419284677.69,6385.38,direct,,2018-06-30
402,1530403200,6429.5,6262.72,6385.43,40809.54,259708490.63,6339.04,direct,,2018-07-01
403,1530489600,6673.71,5537.86,6342.69,73069.19,465915661.24,6615.66,direct,,2018-07-02
404,1530576000,6670.3,6473.48,6616.6,54662.02,356390898.98,6509.58,direct,,2018-07-03
405,1530662400,6777.97,6411.13,6508.43,62355.75,412202352.61,6590.06,direct,,2018-07-04
406,1530748800,6691.32,6448.23,6589.77,63771.67,421189063.01,6534.81,direct,,2018-07-05
407,1530835200,6633.44,6458.14,6534.81,47259.68,310759733.14,6602.02,direct,,2018-07-06
408,1530921600,6814.42,6518.23,6602.03,41785.1,277167900.06,6758.08,direct,,2018-07-07
409,1531008000,6782.85,6684.15,6758.08,39671.12,268455446.1,6707.38,direct,,2018-07-08
410,1531094400,6803.1,6625.58,6707.46,48761.43,328316145.78,6668.84,direct,,2018-07-09
411,1531180800,6683.61,6277.23,6668.84,72513.31,470432142.71,6306.85,direct,,2018-07-10
412,1531267200,6405.59,6293.68,6306.87,51054.67,327667754.35,6394.36,direct,,2018-07-11
413,1531353600,6394.93,6084.0,6394.36,65555.38,409078182.65,6253.6,direct,,2018-07-12
414,1531440000,6349.21,6131.54,6253.66,50964.41,319802271.97,6229.83,direct,,2018-07-13
415,1531526400,6332.46,6190.18,6229.61,27713.18,174416786.37,6268.75,direct,,2018-07-14
416,1531612800,6401.5,6245.75,6268.32,34225.9,218543291.78,6364.26,direct,,2018-07-15
417,1531699200,6761.84,6349.83,6364.26,74798.53,494264915.91,6740.55,direct,,2018-07-16
418,1531785600,7476.24,6677.56,6740.54,112707.21,799401451.35,7326.7,direct,,2018-07-17
419,1531872000,7590.65,7253.71,7326.76,105818.71,788460811.94,7383.39,direct,,2018-07-18
420,1531958400,7563.7,7289.9,7383.39,70179.39,522544440.45,7477.5,direct,,2018-07-19
421,1532044800,7676.55,7279.34,7477.1,80874.93,603034414.79,7333.93,direct,,2018-07-20
422,1532131200,7453.07,7220.37,7333.93,40295.77,297440355.21,7405.4,direct,,2018-07-21
423,1532217600,7569.28,7345.25,7405.4,47479.76,355565264.85,7398.64,direct,,2018-07-22
424,1532304000,7798.59,7376.66,7398.64,96722.04,745533303.01,7718.0,direct,,2018-07-23
425,1532390400,8485.71,7692.16,7718.0,143800.43,1166560702.13,8395.82,direct,,2018-07-24
426,1532476800,8481.11,8061.07,8395.81,89988.19,736530740.43,8170.23,direct,,2018-07-25
427,1532563200,8302.24,7862.67,8170.37,78993.93,643953970.45,7937.25,direct,,2018-07-26
428,1532649600,8278.01,7806.25,7937.1,80336.48,646256012.09,8182.89,direct,,2018-07-27
429,1532736000,8238.04,8070.04,8182.88,36136.12,295872316.42,8230.87,direct,,2018-07-28
430,1532822400,8291.55,8123.53,8230.82,34073.43,280233415.98,8216.78,direct,,2018-07-29
431,1532908800,8273.61,7867.44,8216.7,83918.76,681120739.99,8176.06,direct,,2018-07-30
432,1532995200,8176.27,7663.7,8176.08,97152.13,765186307.24,7735.3,direct,,2018-07-31
433,1533081600,7760.74,7449.31,7736.25,78466.58,595404848.88,7610.9,direct,,2018-08-01
434,1533168000,7713.32,7470.86,7610.9,55711.79,424093581.76,7542.34,direct,,2018-08-02
435,1533254400,7542.49,7296.76,7542.34,79126.57,586982505.83,7417.6,direct,,2018-08-03
436,1533340800,7490.89,6940.15,7417.6,74300.44,534002935.97,7017.89,direct,,2018-08-04
