,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
800,1564790400,226.25,220.3,217.74,1829095.55,406320804.41,222.14,multiply,BTC,2019-08-03
801,1564876800,226.06,220.79,222.14,1841143.5,410136962.82,222.76,multiply,BTC,2019-08-04
802,1564963200,240.29,229.19,222.76,2524717.21,589080374.18,233.33,multiply,BTC,2019-08-05
803,1565049600,228.42,218.79,233.33,2709615.79,612417988.29,226.02,multiply,BTC,2019-08-06
804,1565136000,236.49,224.76,226.02,2377149.41,537412641.79,226.07,multiply,BTC,2019-08-07
805,1565222400,228.63,220.48,226.07,2308485.15,510366037.53,221.08,multiply,BTC,2019-08-08
806,1565308800,219.98,208.35,221.08,2351560.73,494698238.3,210.37,multiply,BTC,2019-08-09
807,1565395200,206.45,200.12,210.37,2388120.21,491941017.53,206.0,multiply,BTC,2019-08-10
808,1565481600,219.2,210.65,206.0,2107135.75,455559384.48,216.2,multiply,BTC,2019-08-11
809,1565568000,213.51,210.67,216.2,1612897.03,340886318.9,211.35,multiply,BTC,2019-08-12
810,1565654400,209.5,200.04,211.35,2018275.26,421299621.63,208.74,multiply,BTC,2019-08-13
811,1565740800,198.43,182.18,208.74,2828543.26,527503051.76,186.49,multiply,BTC,2019-08-14
812,1565827200,194.11,185.35,186.49,2833953.91,533152620.53,188.13,multiply,BTC,2019-08-15
813,1565913600,191.56,182.65,188.13,2614078.68,484514497.51,185.35,multiply,BTC,2019-08-16
814,1566000000,186.53,181.83,185.35,1978569.54,367239957.61,185.61,multiply,BTC,2019-08-17
815,1566086400,196.1,186.8,185.61,1997092.19,388939845.06,194.75,multiply,BTC,2019-08-18
816,1566172800,206.65,202.06,194.75,1972257.37,399160484.61,202.39,multiply,BTC,2019-08-19
817,1566259200,205.51,196.14,202.39,1927843.24,379364434.35,196.78,multiply,BTC,2019-08-20
818,1566345600,188.65,183.69,196.78,2127105.53,398264906.15,187.23,multiply,BTC,2019-08-21
819,1566432000,193.59,186.02,187.23,2403445.86,457766243.42,190.46,multiply,BTC,2019-08-22
820,1566518400,197.59,192.91,190.46,2267870.62,441028157.59,194.47,multiply,BTC,2019-08-23
821,1566604800,192.55,187.98,194.47,2224615.22,424955603.88,191.02,multiply,BTC,2019-08-24
822,1566691200,191.27,185.8,191.02,1972154.53,368020206.97,186.61,multiply,BTC,2019-08-25
823,1566777600,192.58,187.29,186.61,2438507.08,459497798.69,188.43,multiply,BTC,2019-08-26
824,1566864000,188.86,184.38,188.43,2171550.34,406355468.77,187.13,multiply,BTC,2019-08-27
825,1566950400,179.19,167.82,187.13,2582484.87,446690201.75,172.97,multiply,BTC,2019-08-28
826,1567036800,170.49,165.93,172.97,2874572.18,485722262.14,168.97,multiply,BTC,2019-08-29
827,1567123200,171.13,167.78,168.97,2318290.34,390733590.91,168.54,multiply,BTC,2019-08-30
828,1567209600,174.11,167.37,168.54,2480615.09,427119799.14,172.18,multiply,BTC,2019-08-31
829,1567296000,175.83,171.14,172.18,1965280.89,336725399.46,171.34,multiply,BTC,2019-09-01
830,1567382400,183.34,178.25,171.34,2601802.17,465121246.9,178.77,multiply,BTC,2019-09-02
831,1567468800,183.71,177.65,178.77,2690624.56,481710411.96,179.03,multiply,BTC,2019-09-03
832,1567555200,179.74,173.91,179.03,2241155.38,392142478.16,174.97,multiply,BTC,2019-09-04
833,1567641600,175.02,171.01,174.97,2421245.32,420446421.8,173.65,multiply,BTC,2019-09-05
834,1567728000,170.22,166.51,173.65,3184658.05,538470021.17,169.08,multiply,BTC,2019-09-06
835,1567814400,180.15,171.02,169.08,3194413.62,569095905.52,178.15,multiply,BTC,2019-09-07
836,1567900800,182.68,176.95,178.15,2882843.48,523928398.41,181.74,multiply,BTC,2019-09-08
837,1567987200,183.09,177.93,181.74,3080423.66,556683991.04,180.72,multiply,BTC,2019-09-09
838,1568073600,180.25,177.02,180.72,2531620.58,455561042.4,179.95,multiply,BTC,2019-09-10
839,1568160000,184.7,177.48,179.95,2621413.36,467382995.55,178.29,multiply,BTC,2019-09-11
840,1568246400,184.18,180.84,178.29,2237403.82,405074680.2,181.05,multiply,BTC,2019-09-12
841,1568332800,183.07,179.44,181.05,2083933.12,378265276.57,181.52,multiply,BTC,2019-09-13
842,1568419200,188.96,180.78,181.52,2542328.14,479618318.72,188.65,multiply,BTC,2019-09-14
843,1568505600,190.07,186.15,188.65,2291762.32,433702078.27,189.24,multiply,BTC,2019-09-15
844,1568592000,200.92,188.49,189.24,3454835.36,682776485.14,197.63,multiply,BTC,2019-09-16
845,1568678400,213.97,195.61,197.63,4479331.8,931019598.74,207.85,multiply,BTC,2019-09-17
846,1568764800,215.97,207.13,207.85,2877396.64,605352362.08,210.38,multiply,BTC,2019-09-18
847,1568851200,228.14,208.6,210.38,3053051.2,674852986.04,221.04,multiply,BTC,2019-09-19
848,1568937600,219.2,214.93,221.04,2097027.53,457532794.9,218.18,multiply,BTC,2019-09-20
849,1569024000,217.55,213.85,218.18,1895097.27,407918908.48,215.25,multiply,BTC,2019-09-21
850,1569110400,216.5,207.16,215.25,2061169.9,435480738.37,211.28,multiply,BTC,2019-09-22
851,1569196800,206.69,199.32,211.28,2214829.52,445112202.26,200.97,multiply,BTC,2019-09-23
852,1569283200,177.43,162.05,200.97,5745380.51,957553586.46,166.66,multiply,BTC,2019-09-24
